2026-07-17 18:52:57 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 6e-06, 'detectors_total': 0.013933, 'image_load': 0.000477, 'initialization': 3.5e-05, 'recipe_setup': 0.006939, 'reporting_total': 0.001475, 'tiling': 3e-05, 'python_tile_detector_loop': 3e-05}, 'detectors_sec': {'401-1': 0.013904}, 'detector_stages_sec': {'401-1': {'find_contours': 0.000679, 'geometry_analysis': 0.009009, 'preprocess': 0.000383}}, 'reporting_sec': {}, 'end_to_end_sec': 0.023967}
2026-07-17 18:52:57 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | CUDA host metrics: {'measurement_scope': 'host_wrapper_and_optional_cuda_events', 'note': 'Native timings describe the most recent persistent-context operation when the DLL exports them.', 'load_sec': 7.3e-05, 'call_count': 0, 'estimated_round_trips': 0, 'host_to_device_bytes': 0, 'device_to_host_bytes': 0, 'wall_sec': 0.0, 'lock_wait_sec': 0.0, 'persistent_context': {'active': False, 'reserved_bytes': 0, 'allocation_count': 0}, 'native_timings_ms': None, 'functions': {}}
2026-07-17 18:52:57 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_strict_gpu_n2giwdd1\image_is_not_read.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_strict_gpu_n2giwdd1\strict_gpu.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_strict_gpu_n2giwdd1\output debug=False
2026-07-17 18:54:01 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\input.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\cpu.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\cpu_output debug=False
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=GPU_OBSERVABILITY_TEST version=1.0.0
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\input.png shape=(128, 128, 3)
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401-1']
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=4 mode=grid
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=input.png base=input_GPU_OBSERVABILITY_TEST_20260717_185401_796049_4a606067
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=input.png final=NG defects=334 ng_tiles=4 duration=0.031s
